control_PCE,anchor_end_BA,anchor_end_CA,anchor_end_NO,anchor_end_PA,anchor_end_PO,anchor_end_SA,anchor_end_SH,anchor_end_SiO,MetalOxide_ITO,MetalOxide_NiOx,MetalOxide_SnO2,MetalOxide_TiO2,MetalOxide_ZnO,PCE
19.9,0,0,0,1,0,0,0,0,0,1,0,0,0,22.4
19.9,0,0,0,1,0,0,0,0,0,1,0,0,0,21.0
20.1,0,0,0,1,0,0,0,0,0,1,0,0,0,25.6
14.65,0,0,0,0,0,1,0,0,0,0,0,1,0,16.54
14.65,0,0,0,0,0,1,0,0,0,0,0,1,0,16.88
17.19,0,1,0,0,0,0,0,0,0,0,1,0,0,18.11
17.19,0,1,0,0,0,0,0,0,0,0,1,0,0,18.77
17.19,0,1,0,0,0,0,0,0,0,0,1,0,0,18.27
17.19,0,1,0,0,0,0,0,0,0,0,1,0,0,16.5
17.19,0,1,0,0,0,0,0,0,0,0,1,0,0,17.11
10.76,0,1,0,0,0,0,0,0,0,0,0,1,0,13.27
15.5,0,1,0,0,0,0,0,0,0,1,0,0,0,16.2
15.5,0,1,0,0,0,0,0,0,0,1,0,0,0,12.8
15.5,0,1,0,0,0,0,0,0,0,1,0,0,0,13.8
15.5,0,1,0,0,0,0,0,0,0,1,0,0,0,17.6
15.5,0,1,0,0,0,0,0,0,0,1,0,0,0,18.4
12.49,1,0,0,0,0,0,0,0,1,0,0,0,0,14.04
12.49,1,0,0,0,0,0,0,0,1,0,0,0,0,15.66
12.49,1,0,0,0,0,0,0,0,1,0,0,0,0,13.23
11.74,0,0,0,1,0,0,0,0,0,0,0,1,0,11.04
11.74,0,0,0,1,0,0,0,0,0,0,0,1,0,11.65
11.74,0,0,0,1,0,0,0,0,0,0,0,1,0,13.83
11.74,0,0,0,1,0,0,0,0,0,0,0,1,0,13.85
11.74,0,0,0,1,0,0,0,0,0,0,0,1,0,15.21
11.74,0,0,0,1,0,0,0,0,0,0,0,1,0,16.09
19.0,0,1,0,0,0,0,0,0,0,0,0,1,0,20.5
15.41,0,1,0,0,0,0,0,0,0,0,0,0,1,17.07
15.41,0,1,0,0,0,0,0,0,0,0,0,0,1,18.82
16.84,0,1,0,0,0,0,0,0,0,0,1,0,0,18.67
16.84,0,1,0,0,0,0,0,0,0,0,1,0,0,17.68
16.84,0,1,0,0,0,0,0,0,0,0,1,0,0,17.75
19.5,0,0,0,0,0,1,0,0,0,1,0,0,0,21.8
7.48,1,0,0,0,0,0,0,0,0,0,0,1,0,11.34
7.48,1,0,0,0,0,0,0,0,0,0,0,1,0,10.85
7.48,1,0,0,0,0,0,0,0,0,0,0,1,0,10.43
10.76,0,1,0,0,0,0,0,0,0,0,0,1,0,13.14
10.76,0,1,0,0,0,0,0,0,0,0,0,1,0,14.22
10.76,0,1,0,0,0,0,0,0,0,0,0,1,0,11.72
19.8,0,1,0,0,0,0,0,0,0,0,0,1,0,21.2
20.55,0,0,0,1,0,0,0,0,0,1,0,0,0,23.66
18.93,0,1,0,0,0,0,0,0,0,0,1,0,0,21.6
18.79,0,1,0,0,0,0,0,0,0,0,0,0,1,20.39
19.01,0,0,0,0,1,0,0,0,0,0,1,0,0,20.69
14.69,0,0,0,0,0,0,0,1,0,0,1,0,0,17.03
14.05,0,0,1,0,0,0,0,0,0,0,1,0,0,16.65
11.47,0,0,1,0,0,0,0,0,0,1,0,0,0,15.9
19.63,0,0,0,0,0,1,0,0,0,0,1,0,0,21.43
12.8,0,0,1,0,0,0,0,0,0,0,0,1,0,16.3
23.75,0,1,0,0,0,0,0,0,0,0,0,1,0,25.32
21.26,0,1,0,0,0,0,0,0,0,0,1,0,0,23.02
22.89,0,1,0,0,0,0,0,0,0,0,1,0,0,24.71
22.16,0,1,0,0,0,0,0,0,0,1,0,0,0,23.48
20.04,1,0,0,0,0,0,0,0,0,1,0,0,0,22.91
20.04,1,0,0,0,0,0,0,0,0,1,0,0,0,21.81
20.04,0,0,0,0,0,1,0,0,0,1,0,0,0,21.37
20.04,0,1,0,0,0,0,0,0,0,1,0,0,0,20.77
20.95,0,0,1,0,0,0,0,0,0,0,1,0,0,23.43
21.2,0,1,0,0,0,0,0,0,0,0,1,0,0,22.91
21.2,0,1,0,0,0,0,0,0,0,0,1,0,0,22.41
21.2,0,1,0,0,0,0,0,0,0,0,1,0,0,21.81
22.6,0,1,0,0,0,0,0,0,0,0,1,0,0,24.7
20.05,0,1,0,0,0,0,0,0,0,0,1,0,0,21.04
18.82,0,1,0,0,0,0,0,0,0,0,1,0,0,20.68
20.15,0,0,0,0,0,0,0,1,0,0,1,0,0,21.44
20.15,0,0,0,0,0,0,0,1,0,0,1,0,0,20.19
13.18,0,1,0,0,0,0,0,0,0,0,0,1,0,14.11
13.18,0,1,0,0,0,0,0,0,0,0,0,1,0,13.45
13.18,0,1,0,0,0,0,0,0,0,0,0,1,0,11.8
13.18,0,1,0,0,0,0,0,0,0,0,0,1,0,10.32
14.65,0,1,0,0,0,0,0,0,0,0,0,1,0,18.9
20.3,0,1,0,0,0,0,0,0,0,0,0,1,0,21.35
20.3,0,1,0,0,0,0,0,0,0,0,0,1,0,20.73
20.3,0,1,0,0,0,0,0,0,0,0,0,1,0,19.43
9.9,0,0,0,0,0,0,0,1,0,0,0,1,0,12.7
12.53,0,0,1,0,0,0,0,0,0,1,0,0,0,16.25
12.53,0,0,1,0,0,0,0,0,0,1,0,0,0,17.0
15.86,0,0,1,0,0,0,0,0,0,1,0,0,0,16.53
17.98,0,0,0,0,0,0,0,1,0,1,0,0,0,19.58
18.71,0,0,0,0,0,0,0,1,0,1,0,0,0,20.21
16.51,0,0,0,0,0,0,1,0,0,0,0,0,1,19.65
11.96,0,1,0,0,0,0,0,0,0,0,0,0,1,15.67
9.7,0,1,0,0,0,0,0,0,0,0,0,0,1,11.6
9.63,0,1,0,0,0,0,0,0,0,0,0,1,0,10.58
19.69,0,0,1,0,0,0,0,0,0,1,0,0,0,20.86
18.3,0,0,0,0,0,0,0,1,0,0,0,1,0,20.32
17.46,0,1,0,0,0,0,0,0,0,0,0,1,0,18.43
17.46,0,1,0,0,0,0,0,0,0,0,0,1,0,17.9
17.46,0,1,0,0,0,0,0,0,0,0,0,1,0,16.22
17.46,0,1,0,0,0,0,0,0,0,0,0,1,0,14.62
11.2,0,0,0,1,0,0,0,0,0,1,0,0,0,12.7
17.02,0,0,0,1,0,0,0,0,0,1,0,0,0,12.08
17.02,0,0,0,1,0,0,0,0,0,1,0,0,0,15.35
17.02,0,0,0,1,0,0,0,0,0,1,0,0,0,18.45
22.72,0,0,0,1,0,0,0,0,0,0,1,0,0,23.99
22.72,0,1,0,0,0,0,0,0,0,0,1,0,0,23.56
14.36,0,0,0,0,0,0,0,1,0,0,0,1,0,16.5
21.94,0,0,1,0,0,0,0,0,0,0,1,0,0,24.26
21.94,0,0,1,0,0,0,0,0,0,0,1,0,0,22.99
21.94,0,0,1,0,0,0,0,0,0,0,1,0,0,23.55
21.94,0,0,0,1,0,0,0,0,0,0,1,0,0,22.9
22.2,0,0,1,0,0,0,0,0,0,1,0,0,0,24.0
17.6,0,0,1,0,0,0,0,0,0,1,0,0,0,20.4
22.2,0,0,0,1,0,0,0,0,0,1,0,0,0,22.6
19.62,0,0,1,0,0,0,0,0,0,1,0,0,0,22.21
20.21,0,0,0,0,0,1,0,0,0,0,1,0,0,22.65
20.2,0,0,1,0,0,0,0,0,0,0,1,0,0,22.63
20.42,0,0,1,0,0,0,0,0,0,0,1,0,0,23.16
18.02,0,0,0,0,0,1,0,0,0,0,1,0,0,20.32
17.54,0,1,0,0,0,0,0,0,0,0,1,0,0,19.59
17.54,0,1,0,0,0,0,0,0,0,0,1,0,0,20.61
17.54,0,1,0,0,0,0,0,0,0,0,1,0,0,18.67
19.5,0,1,0,0,0,0,0,0,0,1,0,0,0,20.7
19.5,0,1,0,0,0,0,0,0,0,1,0,0,0,22.02
20.17,0,0,1,0,0,0,0,0,0,0,1,0,0,21.2
22.59,0,0,1,0,0,0,0,0,0,0,1,0,0,23.99
18.83,0,0,1,0,0,0,0,0,0,1,0,0,0,15.79
18.83,0,0,1,0,0,0,0,0,0,1,0,0,0,20.16
18.83,0,0,1,0,0,0,0,0,0,1,0,0,0,21.07
18.83,0,0,1,0,0,0,0,0,0,1,0,0,0,22.13
19.38,0,1,0,0,0,0,0,0,0,1,0,0,0,22.25
15.63,0,0,0,1,0,0,0,0,0,1,0,0,0,17.8
16.76,0,0,1,0,0,0,0,0,0,1,0,0,0,18.96
16.44,0,0,0,0,0,0,0,1,0,0,1,0,0,18.41
18.976,0,0,0,0,1,0,0,0,0,0,1,0,0,21.357
19.8,0,1,0,0,0,0,0,0,0,0,1,0,0,23.25
16.33,0,0,0,1,0,0,0,0,0,0,1,0,0,17.78
19.47,0,1,0,0,0,0,0,0,0,0,1,0,0,21.66
18.22,0,0,0,0,0,1,0,0,0,0,1,0,0,20.41
18.22,0,0,0,0,0,1,0,0,0,0,1,0,0,19.62
18.22,0,0,0,0,0,1,0,0,0,0,1,0,0,19.22
18.22,0,0,0,0,0,1,0,0,0,0,1,0,0,18.84
14.24,0,0,1,0,0,0,0,0,0,1,0,0,0,18.9
20.82,0,0,1,0,0,0,0,0,0,0,0,1,0,22.52
19.66,0,0,0,1,0,0,0,0,0,0,1,0,0,21.82
22.28,0,0,0,0,0,1,0,0,0,0,1,0,0,24.26
20.5,0,0,1,0,0,0,0,0,0,0,1,0,0,23.6
21.3,0,0,1,0,0,0,0,0,0,0,1,0,0,23.58
19.73,0,1,0,0,0,0,0,0,0,0,1,0,0,20.5
20.95,0,0,1,0,0,0,0,0,0,0,1,0,0,21.67
20.95,0,1,0,0,0,0,0,0,0,0,1,0,0,22.01
20.95,0,1,0,0,0,0,0,0,0,0,1,0,0,22.83
22.1,0,0,0,0,0,1,0,0,0,0,1,0,0,24.1
20.0,0,1,0,0,0,0,0,0,0,0,1,0,0,20.8
20.02,0,1,0,0,0,0,0,0,0,0,1,0,0,22.63
18.87,0,0,0,1,0,0,0,0,0,1,0,0,0,19.5
18.87,0,0,0,1,0,0,0,0,0,1,0,0,0,20.19
20.21,0,1,0,0,0,0,0,0,0,0,1,0,0,22.17
18.84,0,1,0,0,0,0,0,0,0,0,1,0,0,20.56
19.51,0,1,0,0,0,0,0,0,0,0,1,0,0,21.91
19.51,0,1,0,0,0,0,0,0,0,0,1,0,0,21.16
19.51,0,1,0,0,0,0,0,0,0,0,1,0,0,20.6
17.85,0,1,0,0,0,0,0,0,0,0,1,0,0,20.19
18.43,0,0,0,0,0,1,0,0,0,0,1,0,0,20.22
21.75,0,0,0,0,0,1,0,0,0,0,1,0,0,23.42
21.29,0,0,0,0,0,0,1,0,0,0,1,0,0,23.09
18.88,0,1,0,0,0,0,0,0,0,0,1,0,0,20.94
20.58,0,0,1,0,0,0,0,0,0,0,1,0,0,21.76
20.58,0,0,1,0,0,0,0,0,0,0,1,0,0,22.47
21.1,0,1,0,0,0,0,0,0,0,0,1,0,0,23.1
19.21,0,1,0,0,0,0,0,0,0,0,1,0,0,20.51
19.21,0,1,0,0,0,0,0,0,0,0,1,0,0,21.46
19.91,0,0,1,0,0,0,0,0,0,0,1,0,0,21.53
20.7,0,0,1,0,0,0,0,0,0,0,1,0,0,22.37
20.38,1,0,0,0,0,0,0,0,0,0,1,0,0,22.36
18.71,1,0,0,0,0,0,0,0,0,1,0,0,0,21.4
20.71,1,0,0,0,0,0,0,0,0,0,1,0,0,22.04
15.61,0,0,0,1,0,0,0,0,0,0,1,0,0,18.48
20.34,0,0,1,0,0,0,0,0,0,0,1,0,0,22.24
20.49,0,0,0,0,0,1,0,0,0,0,1,0,0,22.52
18.94,0,0,0,0,1,0,0,0,0,0,1,0,0,20.1
18.94,0,0,0,0,1,0,0,0,0,0,1,0,0,22.14
19.12,0,1,0,0,0,0,0,0,0,0,1,0,0,21.12
20.55,0,1,0,0,0,0,0,0,0,0,1,0,0,22.82
19.19,0,1,0,0,0,0,0,0,0,0,1,0,0,22.27
22.4,0,0,1,0,0,0,0,0,0,0,1,0,0,24.42
